0,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,1,2,3,4,5
6,235.802,233.214,229.507,228.412,224.435,221.419,220.805,222.279,223.539,224.367,226.025,225.782,226.389,228.553,230.144,229.511,226.766,221.463,210.352,196.516,179.969,161.574,143.363,126.262,111.063,98.854,89.628,80.487,71.491,63.312,55.464,49.181,44.28,40.151,36.515,33.379,30.757,28.522,26.91,25.569,24.302,23.554,22.578,21.717,21.123,20.661,20.324,19.886,19.495,19.301,18.945,18.731,18.503,18.266,18.072,17.984,17.908,17.797,17.702,17.632,17.523,17.388,17.226,17.213,17.135,16.931,16.955,16.674,16.624,16.594,16.233,16.259,16.163,15.825,15.782,15.543,15.312,15.142,14.966,14.908,14.774,14.532,14.481,14.252,13.882,13.901,13.739,13.675,13.535,13.316,13.195,13.002,12.9,12.751,12.595,12.616,12.405,12.316,12.214,11.977,11.806,11.816,11.632,11.298,11.368,11.162,10.991,10.897,10.677,10.64,10.66,10.504,10.138,10.115,10.073,9.826,9.643,9.673,9.507,9.248,8.986,9.055,8.966,8.723,8.628,8.426,8.441,8.021,7.953,7.968,7.786,7.524,7.301,7.444,7.341,7.199,6.893,6.551,6.718,6.667,6.454,6.418,6.473,6.144,6.001,5.982,5.841,5.703,5.627,5.651,5.56,5.423,5.359,5.341,5.241,5.019,4.839,4.978,4.958,4.795,4.86,4.891,4.817,4.754,4.704,4.731,4.804,5.212,5.34,5.174,5.461,5.661,5.527,5.482,5.61,5.765,5.835,5.537,5.28,5.433,5.675,5.556,5.754,5.769,5.408,5.388,5.383,5.229,5.196,17.3,9.59,1.1,0.15,NaN
7,232.482,231.493,230.264,227.497,223.678,219.409,218.583,218.65,219.516,221.572,222.006,222.583,221.873,220.005,216.199,208.455,197.93,185.289,171.319,157.43,142.52,127.36,113.1,99.85,88.318,79.127,72.195,65.507,58.89,52.785,46.932,42.199,38.46,35.326,32.554,30.128,28.1,26.337,25.054,23.968,22.892,22.348,21.562,20.829,20.283,19.887,19.668,19.287,18.907,18.752,18.425,18.242,18.063,17.842,17.663,17.567,17.47,17.33,17.263,17.239,17.124,16.993,16.81,16.813,16.725,16.522,16.542,16.273,16.21,16.18,15.84,15.905,15.8,15.447,15.407,15.211,14.982,14.834,14.671,14.631,14.521,14.28,14.245,14.022,13.68,13.712,13.544,13.505,13.391,13.181,13.067,12.859,12.744,12.621,12.515,12.524,12.324,12.264,12.153,11.894,11.754,11.789,11.584,11.295,11.366,11.147,11.002,10.929,10.712,10.623,10.677,10.577,10.221,10.232,10.198,9.944,9.742,9.769,9.608,9.361,9.136,9.217,9.144,8.887,8.809,8.618,8.63,8.297,8.173,8.18,8.052,7.777,7.522,7.647,7.561,7.429,7.144,6.807,6.986,6.938,6.721,6.711,6.742,6.436,6.305,6.306,6.15,5.977,5.903,5.917,5.838,5.755,5.649,5.633,5.55,5.317,5.096,5.249,5.242,5.074,5.15,5.178,5.098,5.002,4.967,5.022,5.08,5.49,5.571,5.429,5.73,5.871,5.801,5.729,5.857,6.006,6.121,5.807,5.534,5.722,5.952,5.838,6.011,6.006,5.607,5.642,5.612,5.439,5.403,15.5,6.54,1.9,0.16,NaN
8,232.526,229.06,227.158,225.026,219.499,216.034,216.416,217.483,217.078,218.959,220.92,220.499,220.928,224.577,224.853,222.614,217.315,208.566,196.022,181.721,165.454,147.797,130.195,114.097,100.06,88.712,80.189,71.731,63.364,55.827,48.61,42.831,38.394,34.504,31.216,28.433,26.006,24.037,22.659,21.558,20.607,19.817,19.005,18.153,17.871,17.495,17.223,16.892,16.598,16.396,16.319,16.092,15.897,15.788,15.747,15.585,15.47,15.513,15.399,15.211,15.221,15.142,15.024,14.925,14.963,14.861,14.688,14.625,14.564,14.401,14.262,14.19,14.017,13.869,13.832,13.732,13.484,13.32,13.229,13.123,12.859,12.734,12.646,12.473,12.236,12.18,11.974,11.753,11.674,11.608,11.407,11.191,11.132,10.946,10.713,10.661,10.607,10.436,10.217,10.083,10.061,9.839,9.631,9.609,9.524,9.37,9.199,9.104,8.975,8.827,8.717,8.639,8.493,8.433,8.325,8.138,7.97,7.916,7.785,7.581,7.643,7.626,7.359,7.231,7.227,7.102,6.976,6.895,6.621,6.711,6.641,6.568,6.416,6.338,6.231,6.105,6.083,6.047,6.018,5.911,5.705,5.746,5.649,5.524,5.387,5.331,5.346,5.299,5.147,5.137,5.122,4.982,4.955,4.958,4.905,4.867,4.745,4.636,4.621,4.516,4.529,4.435,4.363,4.349,4.197,4.273,4.219,4.167,4.273,4.36,4.477,4.794,4.785,4.679,4.866,5.119,5.226,4.88,4.831,5.004,5.122,5.158,5.328,5.243,5.058,5.091,5.012,5.01,5.088,20.05,8.67,2.4,0.19,10.02
9,231.349,230.239,227.648,225.529,221.411,217.37,217.765,216.679,218.426,220.601,222.886,223.915,223.179,225.158,225.164,221.983,216.393,207.957,195.131,180.548,164.053,146.367,129.105,113.208,99.335,88.183,79.844,71.54,63.299,55.908,48.868,43.155,38.799,34.992,31.718,28.982,26.609,24.612,23.216,22.21,21.239,20.45,19.633,18.846,18.519,18.179,17.931,17.609,17.305,17.082,17.019,16.793,16.611,16.491,16.385,16.205,16.117,16.14,16.025,15.897,15.894,15.8,15.733,15.614,15.569,15.504,15.288,15.252,15.227,15.06,14.974,14.794,14.666,14.581,14.49,14.345,14.148,13.979,13.883,13.846,13.49,13.358,13.256,13.001,12.872,12.794,12.544,12.375,12.293,12.178,12.029,11.867,11.714,11.504,11.278,11.285,11.287,11.025,10.807,10.717,10.65,10.445,10.266,10.176,10.069,10.022,9.848,9.636,9.584,9.495,9.353,9.229,9.093,9.056,8.947,8.79,8.693,8.463,8.393,8.309,8.182,8.116,8.075,7.931,7.76,7.635,7.625,7.583,7.28,7.272,7.257,7.205,7.04,6.932,6.868,6.762,6.711,6.663,6.599,6.491,6.356,6.312,6.275,6.136,6.031,5.962,5.923,5.886,5.761,5.764,5.679,5.621,5.609,5.499,5.48,5.439,5.301,5.177,5.257,5.256,5.15,4.997,4.899,4.888,4.845,4.915,4.802,4.768,4.915,4.907,5.053,5.367,5.4,5.373,5.461,5.678,5.754,5.481,5.526,5.639,5.74,5.775,5.803,5.664,5.714,5.761,5.604,5.682,5.694,20.05,8.45,2.9,0.19,9.95
10,228.557,228.124,226.917,223.778,218.913,215.656,214.73,214.233,213.975,214.379,214.064,212.072,207.759,202.555,195.188,184.802,172.754,159.744,146.385,133.784,120.849,107.796,95.517,84.305,74.622,66.927,61.15,55.472,49.753,44.585,39.593,35.542,32.46,29.726,27.344,25.375,23.666,22.152,21.193,20.466,19.722,19.121,18.484,17.897,17.675,17.405,17.185,16.848,16.577,16.405,16.321,16.091,15.933,15.765,15.667,15.56,15.499,15.597,15.483,15.282,15.266,15.114,15.043,14.964,14.973,14.842,14.617,14.673,14.685,14.442,14.339,14.207,14.073,13.932,13.88,13.686,13.477,13.355,13.263,13.224,12.913,12.737,12.681,12.426,12.252,12.186,11.986,11.849,11.683,11.542,11.422,11.295,11.096,10.924,10.743,10.674,10.65,10.467,10.168,9.975,10.044,9.824,9.607,9.502,9.411,9.36,9.219,9.04,8.972,8.878,8.708,8.605,8.455,8.46,8.324,8.136,8.077,7.861,7.772,7.66,7.678,7.547,7.435,7.374,7.236,7.108,7.04,6.948,6.772,6.765,6.598,6.66,6.565,6.389,6.265,6.178,6.21,6.15,6.1,5.993,5.833,5.762,5.678,5.654,5.542,5.485,5.41,5.314,5.26,5.244,5.139,5.09,5.126,5.066,5.005,4.974,4.874,4.75,4.839,4.844,4.806,4.599,4.439,4.484,4.434,4.48,4.427,4.468,4.6,4.631,4.778,5.127,5.19,5.082,5.17,5.451,5.507,5.179,5.213,5.282,5.426,5.459,5.438,5.375,5.387,5.364,5.287,5.415,5.287,17.5,5.43,2.7,0.26,11.4
11,229.461,227.4,224.863,222.169,218.373,213.711,212.432,211.206,210.454,209.71,207.35,202.998,196.61,189.272,180.126,168.827,156.561,144.141,131.731,120.292,108.69,97.12,86.204,76.296,67.71,60.856,55.736,50.717,45.771,41.258,36.909,33.362,30.629,28.235,26.167,24.408,22.903,21.543,20.618,19.941,19.236,18.711,18.165,17.539,17.345,17.066,16.819,16.61,16.332,16.174,16.13,15.929,15.775,15.647,15.542,15.449,15.385,15.382,15.261,15.192,15.152,15.018,14.98,14.91,14.817,14.762,14.609,14.584,14.548,14.376,14.277,14.147,14.113,13.898,13.889,13.74,13.469,13.426,13.354,13.247,12.973,12.881,12.817,12.619,12.5,12.371,12.229,12.107,11.878,11.812,11.747,11.595,11.383,11.226,11.088,11.02,11.026,10.832,10.625,10.484,10.426,10.298,10.106,9.958,9.911,9.892,9.726,9.551,9.526,9.384,9.243,9.167,8.997,8.96,8.88,8.747,8.573,8.395,8.397,8.329,8.238,8.119,8.055,7.939,7.822,7.709,7.656,7.613,7.436,7.443,7.281,7.235,7.213,7.044,6.956,6.889,6.887,6.833,6.824,6.695,6.459,6.438,6.425,6.362,6.256,6.174,6.141,6.066,5.928,5.935,5.825,5.754,5.849,5.744,5.682,5.63,5.49,5.379,5.414,5.395,5.333,5.229,5.208,5.212,5.088,5.176,5.13,5.129,5.349,5.386,5.473,5.83,5.917,5.754,5.817,6.093,6.216,5.898,5.89,5.933,6.071,6.141,6.144,6.109,6.069,6.008,5.894,5.915,5.838,NaN,4.91,NaN,0.21,NaN
12,232.569,230.894,229.284,225.918,221.447,218.81,218.248,217.573,218.655,221.488,223.066,223.956,224.131,225.554,225.89,223.386,218.159,209.21,196.292,181.892,165.487,148.068,131.032,115.207,101.335,90.198,81.825,73.593,65.374,57.998,50.911,45.189,40.872,37.044,33.77,31.022,28.656,26.665,25.255,24.16,23.199,22.405,21.586,20.847,20.416,20.066,19.772,19.444,19.128,18.874,18.824,18.572,18.425,18.31,18.177,18.016,17.904,17.881,17.795,17.658,17.629,17.522,17.452,17.343,17.306,17.171,17.025,17.028,16.948,16.796,16.678,16.567,16.428,16.286,16.221,16.071,15.881,15.809,15.67,15.577,15.38,15.185,15.086,14.85,14.633,14.591,14.469,14.265,14.044,13.991,13.867,13.683,13.541,13.362,13.073,13.017,13.009,12.814,12.563,12.36,12.396,12.171,11.932,11.775,11.608,11.57,11.408,11.224,11.123,10.885,10.781,10.706,10.513,10.43,10.263,10.084,9.969,9.845,9.695,9.568,9.433,9.322,9.213,9.143,8.959,8.803,8.796,8.654,8.409,8.452,8.297,8.308,8.191,8.062,7.938,7.778,7.794,7.712,7.615,7.531,7.383,7.261,7.298,7.145,6.961,6.926,6.866,6.838,6.731,6.689,6.58,6.498,6.472,6.407,6.368,6.251,6.095,6.051,6.094,5.993,5.845,5.786,5.699,5.718,5.618,5.619,5.57,5.621,5.728,5.698,5.901,6.238,6.219,6.123,6.264,6.398,6.578,6.213,6.108,6.292,6.386,6.368,6.397,6.389,6.303,6.23,6.122,6.149,6.05,NaN,NaN,NaN,NaN,NaN
13,231.925,230.488,230.29,227.228,220.906,217.951,218.752,217.873,217.929,221.005,222.341,222.592,224.205,226.508,226.828,225.048,221.954,214.448,202.142,188.052,171.457,153.46,135.737,119.357,104.893,93.253,84.51,75.861,67.26,59.497,52.119,46.138,41.608,37.606,34.205,31.36,28.874,26.835,25.382,24.274,23.26,22.467,21.65,20.823,20.443,20.099,19.826,19.419,19.115,18.867,18.841,18.571,18.432,18.274,18.176,18.078,17.931,17.944,17.806,17.641,17.657,17.546,17.462,17.386,17.33,17.196,17.05,17.004,17.017,16.821,16.708,16.566,16.398,16.28,16.184,16.141,15.883,15.758,15.708,15.592,15.328,15.162,15.036,14.808,14.693,14.592,14.353,14.235,14.069,13.949,13.841,13.644,13.461,13.326,13.06,12.947,13.008,12.827,12.505,12.351,12.356,12.103,11.849,11.699,11.595,11.548,11.348,11.147,11.057,10.899,10.673,10.641,10.537,10.355,10.149,10.049,9.986,9.76,9.594,9.47,9.446,9.261,9.148,9.107,8.92,8.728,8.7,8.58,8.358,8.432,8.309,8.245,8.066,7.986,7.903,7.714,7.688,7.68,7.63,7.457,7.296,7.248,7.227,7.126,6.938,6.878,6.867,6.808,6.673,6.619,6.577,6.507,6.463,6.351,6.303,6.244,6.15,5.99,5.976,6.003,5.872,5.761,5.668,5.649,5.605,5.618,5.524,5.599,5.766,5.739,5.839,6.206,6.249,6.098,6.231,6.488,6.541,6.185,6.151,6.238,6.353,6.444,6.472,6.343,6.257,6.305,6.153,6.178,6.102,NaN,NaN,NaN,NaN,NaN
15,237.564,235.452,233.211,230.741,226.431,224.563,223.213,220.202,220.713,222.853,222.349,220.622,217.146,213.549,207.63,198.368,187.852,176.046,163.738,152.116,139.784,127.269,115.419,104.538,94.986,87.288,81.597,75.915,70.227,64.911,59.745,55.534,52.24,49.345,46.845,44.642,42.746,41.092,39.909,38.994,38.173,37.437,36.656,35.841,35.421,35.012,34.707,34.355,33.887,33.551,33.36,33.097,32.827,32.503,32.305,32.146,31.926,31.875,31.704,31.463,31.342,31.13,30.917,30.739,30.654,30.391,30.115,29.945,29.886,29.701,29.348,29.164,28.92,28.643,28.518,28.237,27.893,27.675,27.416,27.236,26.944,26.618,26.395,26.095,25.776,25.59,25.297,24.976,24.816,24.529,24.234,24.005,23.696,23.389,23.081,22.889,22.786,22.537,22.208,21.86,21.573,21.31,20.975,20.799,20.555,20.354,20.116,19.905,19.652,19.366,19.165,18.917,18.764,18.544,18.299,18.108,17.861,17.606,17.374,17.18,17.043,16.847,16.732,16.542,16.287,16.117,15.925,15.782,15.506,15.407,15.288,15.211,15.071,14.817,14.653,14.42,14.323,14.303,14.129,13.923,13.697,13.595,13.514,13.349,13.159,13.023,12.899,12.788,12.612,12.505,12.34,12.238,12.166,11.937,11.792,11.741,11.605,11.347,11.372,11.31,11.135,10.963,10.805,10.827,10.748,10.7,10.563,10.615,10.698,10.647,10.83,11.17,11.051,10.899,10.998,11.166,11.213,10.783,10.666,10.779,10.848,10.814,10.831,10.6,10.487,10.47,10.269,10.248,10.179,20.2,5.34,4.3,0.189,15
