0,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,1,2,3,4,5
1,NaN,NaN,NaN,233.463,227.774,224.208,220.26,218.588,216.576,216.771,214.463,213.213,215.306,210.057,209.202,205.174,200.972,195.486,184.008,172.655,158.974,144.534,131.32,117.881,104.443,91.462,79.803,69.887,62.047,56.237,50.449,44.567,39.237,34.192,30.144,27.057,24.363,21.981,19.993,18.251,16.852,15.917,15.202,14.825,14.112,13.327,12.949,12.851,12.544,12.273,11.95,11.594,11.581,11.511,11.293,11.158,11.009,10.903,10.914,10.829,10.919,10.96,10.867,10.629,10.532,10.475,10.398,10.349,10.315,10.245,10.121,10.1,10.225,10.119,9.864,9.859,9.765,9.673,9.616,9.394,9.302,9.303,9.192,9.04,8.948,8.8,8.669,8.6,8.526,8.223,8.275,8.266,7.949,8.003,7.887,7.719,7.643,7.641,7.701,7.373,7.215,7.195,7.176,6.985,6.842,6.844,6.771,6.553,6.426,6.444,6.458,6.41,6.218,6.121,6.207,6.144,5.943,5.802,5.875,5.799,5.625,5.571,5.585,5.526,5.4,5.327,5.35,5.101,5.134,5.116,4.889,4.895,5.143,4.915,4.739,4.848,4.924,4.545,4.458,4.652,4.416,4.281,4.315,4.392,4.193,4.119,4.065,3.953,4.035,3.946,3.789,3.886,3.913,3.837,3.865,3.724,3.768,3.933,3.709,3.451,3.637,3.786,3.534,3.355,3.463,3.44,3.363,3.222,3.243,3.265,3.407,3.459,3.549,3.797,4.031,4.164,4.279,4.677,4.947,4.902,4.651,4.3,4.436,4.772,4.95,4.927,4.719,4.683,4.717,4.665,4.586,4.444,0.04,5.7,17.7,15.6,1
2,NaN,NaN,NaN,229.843,227.72,226.806,222.38,218.034,216.537,211.754,212.464,212.26,211.696,214.614,214.288,209.726,205.066,199.568,190.822,178.539,165.088,151.115,137.627,123.526,109.264,95.796,83.555,73.124,64.933,58.776,52.695,46.525,40.919,35.594,31.37,28.087,25.252,22.781,20.686,18.876,17.428,16.49,15.691,15.231,14.482,13.75,13.402,13.164,12.927,12.571,12.209,12.005,11.858,11.735,11.584,11.417,11.325,11.173,11.108,11.13,11.189,11.206,11.046,10.884,10.773,10.67,10.677,10.671,10.483,10.458,10.43,10.257,10.41,10.293,10.093,10,9.898,9.81,9.744,9.57,9.463,9.476,9.34,9.131,9.075,8.991,8.891,8.727,8.645,8.423,8.47,8.397,8.149,8.178,8.029,7.933,7.855,7.847,7.894,7.541,7.391,7.38,7.329,7.181,7.086,7.02,6.976,6.802,6.676,6.705,6.612,6.567,6.45,6.347,6.425,6.332,6.103,5.982,6.069,5.906,5.791,5.897,5.798,5.667,5.675,5.528,5.565,5.244,5.288,5.377,5.155,5.15,5.232,5.021,4.869,4.961,5.167,4.733,4.651,4.827,4.631,4.445,4.446,4.556,4.415,4.334,4.183,4.205,4.332,4.179,4.051,4.018,4.045,4.062,3.991,3.883,3.967,4.03,3.791,3.556,3.708,3.878,3.669,3.477,3.6,3.554,3.467,3.48,3.542,3.45,3.537,3.706,3.789,4.002,4.224,4.289,4.403,4.79,5.075,5.014,4.778,4.515,4.611,4.93,5.096,5.012,4.893,4.849,4.779,4.754,4.632,4.531,0,6.4,NaN,NaN,NaN
3,NaN,NaN,NaN,233.366,230.823,228.676,226.316,224.122,219.347,216.269,215.479,215.596,217.221,218.576,218.956,220.388,220.943,223.171,222.566,218.194,209.543,198.787,186.047,170.499,153.79,136.792,120.656,106.581,95.246,86.452,77.477,68.235,59.73,51.559,45.006,39.823,35.162,31.067,27.552,24.477,21.956,20.185,18.769,17.812,16.619,15.378,14.622,14.167,13.766,13.289,12.829,12.453,12.216,12.092,11.916,11.686,11.583,11.399,11.375,11.324,11.371,11.41,11.272,11.083,10.994,10.897,10.869,10.888,10.749,10.732,10.665,10.497,10.625,10.544,10.361,10.27,10.192,10.084,10.011,9.906,9.745,9.734,9.643,9.402,9.354,9.282,9.147,9.081,8.975,8.694,8.753,8.732,8.498,8.501,8.298,8.242,8.181,8.152,8.205,7.907,7.705,7.688,7.645,7.456,7.365,7.367,7.295,7.114,6.974,7.005,6.913,6.81,6.714,6.668,6.662,6.592,6.441,6.306,6.399,6.206,6.125,6.156,6.054,5.972,5.963,5.819,5.878,5.607,5.65,5.606,5.413,5.551,5.555,5.328,5.222,5.289,5.474,5.058,4.951,5.188,4.982,4.771,4.811,4.911,4.876,4.707,4.536,4.619,4.693,4.558,4.496,4.457,4.462,4.402,4.415,4.301,4.365,4.457,4.223,3.982,4.113,4.254,4.045,3.881,3.958,3.923,3.819,3.813,3.876,3.786,3.892,3.979,4.04,4.373,4.528,4.528,4.667,5.008,5.296,5.25,4.95,4.664,4.8,5.071,5.234,5.206,5.06,4.949,4.921,4.971,4.757,4.591,1.97,7.4,NaN,NaN,NaN
5,NaN,NaN,NaN,235.529,234.23,230.738,229.666,225.636,219.556,217.001,219.045,219.104,221.398,223.456,223.921,224.889,227.889,229.04,228.108,233.266,233.09,227.042,219.952,207.421,191.403,174.1,155.476,138.493,124.551,113.409,101.606,89.325,77.95,67.005,58.193,51.112,44.679,39.008,34.014,29.719,26.197,23.629,21.585,20.125,18.487,16.776,15.587,14.934,14.403,13.757,13.16,12.674,12.362,12.22,12.001,11.716,11.617,11.393,11.391,11.294,11.322,11.349,11.223,11.052,10.987,10.918,10.831,10.848,10.753,10.698,10.623,10.534,10.606,10.539,10.41,10.271,10.208,10.129,10.048,9.963,9.765,9.761,9.723,9.449,9.382,9.305,9.082,9.058,8.99,8.712,8.814,8.762,8.526,8.545,8.348,8.243,8.19,8.173,8.204,7.991,7.748,7.761,7.742,7.506,7.421,7.418,7.357,7.162,7.017,7.072,7.024,6.843,6.754,6.781,6.729,6.644,6.578,6.427,6.419,6.221,6.238,6.21,6.117,6.108,6.019,5.901,6.024,5.799,5.737,5.671,5.512,5.587,5.636,5.46,5.387,5.437,5.582,5.197,5.128,5.364,5.118,4.999,4.991,5.109,5.128,4.913,4.77,4.85,4.917,4.76,4.639,4.639,4.683,4.657,4.66,4.513,4.522,4.598,4.409,4.209,4.259,4.375,4.23,4.071,4.111,4.027,3.913,3.993,4.067,3.923,3.994,4.01,4.086,4.438,4.534,4.505,4.702,5.052,5.321,5.298,4.941,4.663,4.787,5.051,5.197,5.139,4.94,4.927,4.882,4.877,4.714,4.475,3.93,8.3,NaN,NaN,NaN
6,NaN,NaN,NaN,232.31,230.331,229.245,226.915,222.855,219.599,216.742,217.109,218.455,219.616,219.027,220.554,225.594,224.312,228.098,233.231,236.153,237.747,237.922,235.818,229.412,219.49,205.608,188.389,170.562,154.965,141.624,126.853,111.463,97.146,83.313,72.192,63.165,54.869,47.553,41.067,35.47,30.887,27.521,24.872,22.904,20.76,18.502,16.943,16.087,15.4,14.586,13.809,13.177,12.78,12.581,12.326,11.983,11.816,11.606,11.592,11.5,11.569,11.572,11.442,11.251,11.157,11.085,10.979,11.021,10.919,10.88,10.818,10.703,10.816,10.735,10.572,10.477,10.385,10.298,10.273,10.142,9.906,9.922,9.962,9.698,9.59,9.542,9.327,9.329,9.224,8.958,9.086,8.997,8.773,8.749,8.584,8.533,8.462,8.425,8.467,8.273,7.967,7.94,7.964,7.682,7.627,7.644,7.585,7.354,7.22,7.262,7.222,7.074,6.959,6.964,6.929,6.844,6.722,6.59,6.595,6.422,6.422,6.379,6.318,6.288,6.162,6.093,6.214,5.967,5.939,5.924,5.759,5.805,5.857,5.685,5.579,5.67,5.788,5.451,5.336,5.605,5.338,5.193,5.208,5.386,5.451,5.245,5.052,5.087,5.204,5.081,4.984,4.963,5.019,5.012,4.963,4.833,4.853,4.972,4.812,4.562,4.6,4.765,4.599,4.418,4.45,4.314,4.155,4.233,4.36,4.117,4.169,4.24,4.349,4.657,4.694,4.691,4.855,5.203,5.421,5.34,5.101,4.823,4.862,5.176,5.356,5.237,5.013,5.019,4.981,5.001,4.764,4.584,6.04,9.2,NaN,NaN,NaN
7,NaN,NaN,NaN,233.277,232.841,230.986,226.393,220.903,218.96,217.459,215.824,219.731,221.85,223.112,221.94,224.623,227.629,230.499,234.054,236.628,240.439,242.948,240.723,236.792,233.986,227.486,212.824,196.822,181.292,166.402,149.172,131.203,114.451,98.131,84.971,74.176,64.213,55.431,47.554,40.777,35.192,31.08,27.87,25.378,22.769,20.033,18.107,17.038,16.193,15.226,14.328,13.576,13.103,12.855,12.553,12.188,12.037,11.835,11.767,11.672,11.735,11.739,11.621,11.412,11.339,11.268,11.165,11.219,11.101,11.083,11.011,10.901,11.04,10.935,10.828,10.706,10.59,10.553,10.532,10.359,10.203,10.207,10.177,9.925,9.828,9.766,9.568,9.568,9.475,9.209,9.267,9.211,9.06,8.995,8.821,8.775,8.723,8.657,8.674,8.5,8.227,8.158,8.171,7.951,7.897,7.867,7.808,7.604,7.476,7.494,7.439,7.274,7.174,7.181,7.172,7.108,6.995,6.807,6.845,6.752,6.659,6.57,6.569,6.58,6.47,6.351,6.408,6.231,6.203,6.096,5.978,6.179,6.169,5.958,5.894,5.973,6.064,5.723,5.725,5.981,5.712,5.542,5.58,5.743,5.764,5.582,5.452,5.531,5.546,5.455,5.347,5.286,5.366,5.371,5.37,5.287,5.253,5.344,5.174,4.928,4.946,5.093,4.958,4.735,4.712,4.594,4.52,4.487,4.579,4.386,4.421,4.461,4.509,4.807,4.899,4.853,5.044,5.401,5.599,5.487,5.193,4.967,5.028,5.293,5.459,5.364,5.103,5.078,5.048,5.037,4.884,4.691,8,10.1,NaN,NaN,NaN
8,NaN,NaN,NaN,233.881,233.908,233.904,229.281,226.004,223.759,220.256,219.849,222.47,226.493,225.223,224.236,225.527,231.194,233.374,234.146,237.498,240.599,245.097,244.88,240.928,242.83,239.676,231.281,220.378,206.384,190.261,170.998,150.61,131.456,112.703,97.646,85.183,73.603,63.347,54.17,46.258,39.696,34.882,31.129,28.158,25.082,21.88,19.638,18.356,17.376,16.216,15.195,14.364,13.79,13.473,13.16,12.772,12.576,12.365,12.304,12.193,12.267,12.285,12.134,11.923,11.846,11.771,11.708,11.747,11.607,11.591,11.516,11.375,11.53,11.463,11.343,11.215,11.103,11.103,11.081,10.849,10.715,10.745,10.736,10.487,10.35,10.306,10.136,10.114,9.981,9.717,9.771,9.714,9.574,9.525,9.366,9.281,9.271,9.18,9.184,9.054,8.752,8.679,8.691,8.458,8.426,8.402,8.33,8.101,7.97,8.012,7.963,7.767,7.69,7.7,7.699,7.62,7.507,7.348,7.405,7.26,7.204,7.129,7.096,7.045,6.913,6.851,6.988,6.82,6.726,6.642,6.585,6.73,6.672,6.477,6.457,6.552,6.643,6.273,6.307,6.537,6.252,6.148,6.209,6.33,6.325,6.161,6.089,6.149,6.146,6.057,5.972,5.928,5.983,5.973,5.964,5.863,5.83,5.944,5.772,5.55,5.535,5.67,5.565,5.308,5.235,5.136,5.043,5.05,5.118,4.907,4.96,4.996,5.011,5.278,5.365,5.366,5.458,5.83,6.071,5.951,5.593,5.353,5.432,5.669,5.857,5.76,5.558,5.506,5.407,5.421,5.263,5.073,9.9,11.4,NaN,NaN,NaN
9,NaN,NaN,NaN,233.801,229.799,224.314,221.171,219.989,217.64,215.762,213.96,215.399,217.461,215.433,216.458,219.063,222.775,219.925,216.559,215.001,205.97,192.616,178.431,161.331,143.067,125.129,108.532,94.183,82.868,74.4,65.794,57.193,49.447,42.102,36.326,31.83,27.966,24.596,21.784,19.339,17.35,16.087,15.026,14.444,13.53,12.494,12.095,11.783,11.513,11.123,10.741,10.433,10.28,10.221,10.062,9.865,9.726,9.579,9.535,9.519,9.656,9.696,9.499,9.343,9.191,9.15,9.233,9.159,9.021,8.998,8.895,8.762,8.959,8.874,8.639,8.554,8.45,8.497,8.323,8.129,8.2,8.096,7.953,7.919,7.783,7.714,7.613,7.428,7.484,7.221,7.174,7.254,7.015,7,6.895,6.823,6.74,6.747,6.801,6.458,6.437,6.403,6.277,6.237,6.153,6.07,6.053,5.894,5.74,5.746,5.777,5.767,5.619,5.517,5.55,5.492,5.304,5.175,5.297,5.134,5.003,5.075,4.906,4.865,4.815,4.774,4.774,4.509,4.572,4.62,4.376,4.38,4.523,4.308,4.206,4.269,4.327,4.007,3.961,4.251,3.989,3.871,3.844,3.803,3.754,3.662,3.559,3.664,3.768,3.577,3.431,3.462,3.418,3.467,3.418,3.2,3.321,3.428,3.242,2.969,3.068,3.247,3.057,2.899,3.087,3.08,2.981,3.079,3.071,2.95,3.036,3.214,3.38,3.486,3.757,3.893,3.876,4.211,4.505,4.597,4.334,4.021,4.138,4.5,4.684,4.607,4.438,4.425,4.349,4.264,4.031,4.035,0.16,8.02,20.4,15.3,NaN
10,NaN,NaN,NaN,231.493,230.188,227.982,223.508,221.998,217.687,214.471,212.541,213.348,214.417,213.252,210.419,207.545,203.326,196.404,186.755,174.555,160.86,147.322,134.019,120.202,106.529,93.57,81.683,71.565,63.704,57.791,51.851,45.795,40.324,35.132,30.983,27.744,24.961,22.536,20.45,18.631,17.178,16.311,15.49,15.101,14.346,13.556,13.276,13.072,12.873,12.494,12.145,11.852,11.743,11.682,11.515,11.304,11.124,10.992,11.042,11.003,11.122,11.193,10.907,10.745,10.601,10.544,10.591,10.474,10.352,10.369,10.272,10.128,10.331,10.212,9.936,9.844,9.748,9.714,9.557,9.433,9.433,9.336,9.164,9.038,8.958,8.872,8.722,8.603,8.585,8.262,8.264,8.396,8.07,8.014,7.891,7.804,7.758,7.722,7.76,7.421,7.358,7.291,7.215,7.073,6.964,6.959,6.952,6.691,6.558,6.648,6.622,6.569,6.501,6.366,6.413,6.343,6.153,6.021,6.138,6.014,5.883,5.868,5.768,5.769,5.657,5.623,5.68,5.361,5.346,5.431,5.228,5.238,5.354,5.148,4.959,5.048,5.184,4.794,4.699,4.964,4.719,4.592,4.592,4.558,4.491,4.468,4.318,4.344,4.471,4.299,4.217,4.182,4.161,4.212,4.172,4.043,4.138,4.216,4.041,3.74,3.881,4.055,3.874,3.684,3.827,3.796,3.729,3.806,3.834,3.699,3.722,3.879,4.061,4.228,4.43,4.563,4.599,4.985,5.317,5.24,4.961,4.688,4.787,5.184,5.377,5.275,5.13,5.141,5.019,4.992,4.763,4.73,0,6.1,NaN,NaN,NaN
